,prompt_id,file_name,prompt
0,000,video_000_00.mp4,"On a cozy patio, a woman roasts marshmallows over a flickering fire pit. The cinematic camera moves to unveil surrounding string lights and potted plants, capturing the warm ambiance before returning to the woman's contented face."
1,000,video_000_01.mp4,"On a cozy patio, a woman roasts marshmallows over a flickering fire pit. The cinematic camera moves to unveil surrounding string lights and potted plants, capturing the warm ambiance before returning to the woman's contented face."
2,000,video_000_02.mp4,"On a cozy patio, a woman roasts marshmallows over a flickering fire pit. The cinematic camera moves to unveil surrounding string lights and potted plants, capturing the warm ambiance before returning to the woman's contented face."
3,000,video_000_03.mp4,"On a cozy patio, a woman roasts marshmallows over a flickering fire pit. The cinematic camera moves to unveil surrounding string lights and potted plants, capturing the warm ambiance before returning to the woman's contented face."
4,001,video_001_00.mp4,"In a cozy coffee shop, many cats are sitting on tables, their fur rustling gently. The camera moves in cinematic slow motion, revealing the warm wooden interior adorned with plants, creating a serene atmosphere."
5,001,video_001_01.mp4,"In a cozy coffee shop, many cats are sitting on tables, their fur rustling gently. The camera moves in cinematic slow motion, revealing the warm wooden interior adorned with plants, creating a serene atmosphere."
6,001,video_001_02.mp4,"In a cozy coffee shop, many cats are sitting on tables, their fur rustling gently. The camera moves in cinematic slow motion, revealing the warm wooden interior adorned with plants, creating a serene atmosphere."
7,001,video_001_03.mp4,"In a cozy coffee shop, many cats are sitting on tables, their fur rustling gently. The camera moves in cinematic slow motion, revealing the warm wooden interior adorned with plants, creating a serene atmosphere."
8,002,video_002_00.mp4,"A helicopter camera turns right, capturing many kids bobsledding through a beautifully sculpted topiary garden, revealing intricate hedges and whimsical plant sculptures against the energetic, snowy foreground."
9,002,video_002_01.mp4,"A helicopter camera turns right, capturing many kids bobsledding through a beautifully sculpted topiary garden, revealing intricate hedges and whimsical plant sculptures against the energetic, snowy foreground."
10,002,video_002_02.mp4,"A helicopter camera turns right, capturing many kids bobsledding through a beautifully sculpted topiary garden, revealing intricate hedges and whimsical plant sculptures against the energetic, snowy foreground."
11,002,video_002_03.mp4,"A helicopter camera turns right, capturing many kids bobsledding through a beautifully sculpted topiary garden, revealing intricate hedges and whimsical plant sculptures against the energetic, snowy foreground."
12,003,video_003_00.mp4,"In an indoor firing range, a man gently feeds a woman, while the Red Dragon camera follows their movement, capturing the rows of targets and ammunition racks creating a dynamic and immersive scene."
13,003,video_003_01.mp4,"In an indoor firing range, a man gently feeds a woman, while the Red Dragon camera follows their movement, capturing the rows of targets and ammunition racks creating a dynamic and immersive scene."
14,003,video_003_02.mp4,"In an indoor firing range, a man gently feeds a woman, while the Red Dragon camera follows their movement, capturing the rows of targets and ammunition racks creating a dynamic and immersive scene."
15,003,video_003_03.mp4,"In an indoor firing range, a man gently feeds a woman, while the Red Dragon camera follows their movement, capturing the rows of targets and ammunition racks creating a dynamic and immersive scene."
16,004,video_004_00.mp4,"In a cozy nursery filled with toys and a crib, a single cat sniffs at food on the floor, while a wide-angle camera pans around, revealing colorful walls and a rocking chair in the background."
17,004,video_004_01.mp4,"In a cozy nursery filled with toys and a crib, a single cat sniffs at food on the floor, while a wide-angle camera pans around, revealing colorful walls and a rocking chair in the background."
18,004,video_004_02.mp4,"In a cozy nursery filled with toys and a crib, a single cat sniffs at food on the floor, while a wide-angle camera pans around, revealing colorful walls and a rocking chair in the background."
19,004,video_004_03.mp4,"In a cozy nursery filled with toys and a crib, a single cat sniffs at food on the floor, while a wide-angle camera pans around, revealing colorful walls and a rocking chair in the background."
20,005,video_005_00.mp4,"On a snowy ski slope, two cats are eating food from bowls. The cinematic quality point of view shot glides, showcasing skiers in the background and the pristine, snowy landscape around."
21,005,video_005_01.mp4,"On a snowy ski slope, two cats are eating food from bowls. The cinematic quality point of view shot glides, showcasing skiers in the background and the pristine, snowy landscape around."
22,005,video_005_02.mp4,"On a snowy ski slope, two cats are eating food from bowls. The cinematic quality point of view shot glides, showcasing skiers in the background and the pristine, snowy landscape around."
23,005,video_005_03.mp4,"On a snowy ski slope, two cats are eating food from bowls. The cinematic quality point of view shot glides, showcasing skiers in the background and the pristine, snowy landscape around."
24,006,video_006_00.mp4,"A young girl gently rocks a baby, navigating through a cozy bookstore with shelves of books looming overhead. The camera glides backward on a slider, revealing the intricate maze of literature and warm, inviting atmosphere."
25,006,video_006_01.mp4,"A young girl gently rocks a baby, navigating through a cozy bookstore with shelves of books looming overhead. The camera glides backward on a slider, revealing the intricate maze of literature and warm, inviting atmosphere."
26,006,video_006_02.mp4,"A young girl gently rocks a baby, navigating through a cozy bookstore with shelves of books looming overhead. The camera glides backward on a slider, revealing the intricate maze of literature and warm, inviting atmosphere."
27,006,video_006_03.mp4,"A young girl gently rocks a baby, navigating through a cozy bookstore with shelves of books looming overhead. The camera glides backward on a slider, revealing the intricate maze of literature and warm, inviting atmosphere."
28,007,video_007_00.mp4,"A man rides a jet ski down a tranquil river, his reflection shimmering on the water. As the wide-angle camera pans around, the lush shoreline and distant mountains shift dynamically in the background."
